2019-07-24T12:14:57+00:00 CRITICAL /home/syrathon/public_html/wp-content/themes/quality/functions.php 中第 146 行的 syntax error, unexpected 'function' (T_FUNCTION)

2019-07-24T12:15:26+00:00 CRITICAL /home/syrathon/public_html/wp-content/themes/quality/functions.php 中第 146 行的 syntax error, unexpected 'function' (T_FUNCTION)

2019-07-24T12:15:35+00:00 CRITICAL /home/syrathon/public_html/wp-content/themes/quality/functions.php 中第 146 行的 syntax error, unexpected 'function' (T_FUNCTION)

2019-07-24T12:15:39+00:00 CRITICAL /home/syrathon/public_html/wp-content/themes/quality/functions.php 中第 146 行的 syntax error, unexpected 'function' (T_FUNCTION)

2019-07-24T12:15:48+00:00 CRITICAL /home/syrathon/public_html/wp-content/themes/quality/functions.php 中第 146 行的 syntax error, unexpected 'function' (T_FUNCTION)

2019-07-24T12:16:11+00:00 CRITICAL /home/syrathon/public_html/wp-content/themes/quality/functions.php 中第 145 行的 syntax error, unexpected ':'

2019-07-24T12:16:18+00:00 CRITICAL /home/syrathon/public_html/wp-content/themes/quality/functions.php 中第 146 行的 syntax error, unexpected 'function' (T_FUNCTION)

2019-07-24T12:17:04+00:00 CRITICAL /home/syrathon/public_html/wp-content/themes/quality/functions.php 中第 146 行的 syntax error, unexpected 'function' (T_FUNCTION)

2019-07-24T12:17:48+00:00 CRITICAL /home/syrathon/public_html/wp-content/themes/quality/functions.php 中第 146 行的 syntax error, unexpected 'function' (T_FUNCTION)

2019-07-24T12:18:13+00:00 CRITICAL /home/syrathon/public_html/wp-content/themes/quality/functions.php 中第 146 行的 syntax error, unexpected 'function' (T_FUNCTION)

